rank,content_item_id,published_date,title,quality_score,final_score,org_boost,quality_model,notable_organisations,all_resolved_organisations,canonical_url,pdf_organisations,organisations,organisation_status
1,194032,2026-09-14,"Scaling Verification of Cryptographic Software with Aeneas, Rust, and Lean",9.3,9.1,0.096,openai/gpt-5.6-sol,,École Normale Supérieure - PSL,https://arxiv.org/abs/2609.15648,,École Normale Supérieure - PSL,database_resolved
2,193268,2026-09-13,Flattening Every Memory Peak in Long-Context Mixture-of-Experts Training,9.3,8.9,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.14306,Salesforce AI Research,Salesforce AI Research,paper_pdf
3,53419,2026-09-14,Ave: Guiding Agentic GPU Optimization Using Data-Flow Invariants,9.3,8.6,0.000,openai/gpt-5.6-sol,Stanford University; Tsinghua University,"Rusal (Russia); Stanford University; Tsinghua University; University College of Applied Science; University of California, Riverside; University of Hong Kong",https://arxiv.org/abs/2604.18616,,"Rusal (Russia); Stanford University; Tsinghua University; University College of Applied Science; University of California, Riverside; University of Hong Kong",database_resolved
4,136821,2026-09-01,"Emergence of Fibrations, Compression, and Symmetry Breaking in Artificial Neural Networks",9.3,8.5,0.096,openai/gpt-5.6-sol,,City College of New York,https://arxiv.org/abs/2609.01768,,City College of New York,database_resolved
5,184607,2026-09-06,"Water-network decisions share one hydraulic gradient, and it can now be computed exactly",9.2,8.9,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.06323,"Donghua University; Guangzhou Institute of Industrial Intelligence; Key Laboratory of Ecological Restoration of Regional Contaminated Environment, Ministry of Education, Shenyang University; Shenyang Institute of Automation, Chinese Academy of Sciences; Shenyang Jianzhu University","Donghua University; Guangzhou Institute of Industrial Intelligence; Key Laboratory of Ecological Restoration of Regional Contaminated Environment, Ministry of Education, Shenyang University; Shenyang Institute of Automation, Chinese Academy of Sciences; Shenyang Jianzhu University",paper_pdf
6,184835,2026-09-06,Learning transferable human physiology from two million hours of sleep with SleepFM-2,9.1,9.2,0.191,openai/gpt-5.6-sol,Stanford University,Stanford University; Technical University of Denmark,https://arxiv.org/abs/2609.06849,,Stanford University; Technical University of Denmark,database_resolved
7,142581,2026-09-03,Evidence Integration in Large Language Models,9.1,9.1,0.270,openai/gpt-5.6-sol,Massachusetts Institute of Technology,Massachusetts Institute of Technology,https://arxiv.org/abs/2609.04290,,Massachusetts Institute of Technology,database_resolved
8,138345,2026-09-03,Extending concurrent separation logic to the hardware level to verify the xv6 OS kernel on RISC-V with AI agents,9.1,8.8,0.096,openai/gpt-5.6-sol,,MIT Computer Science and Artificial Intelligence Laboratory,https://arxiv.org/abs/2609.04043,,MIT Computer Science and Artificial Intelligence Laboratory,database_resolved
9,191803,2026-09-11,4D Parallelism Unlocks Exascale Bayesian Neural Networks for High-Fidelity Atmospheric Modeling,9.1,8.8,0.135,openai/gpt-5.6-sol,,CSC - IT Center for Science (Finland); Forschungszentrum Jülich; Karlsruhe Institute of Technology,https://arxiv.org/abs/2609.12815,,CSC - IT Center for Science (Finland); Forschungszentrum Jülich; Karlsruhe Institute of Technology,database_resolved
10,3120,2026-09-14,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,9.1,8.6,0.128,openai/gpt-5.6-sol,,University of California San Diego; University of Cambridge; University of Hong Kong,https://arxiv.org/abs/2608.23691,,University of California San Diego; University of Cambridge; University of Hong Kong,database_resolved
