arxiv_id,title,published_at,domain,subdomains,audiences,application_domains,final_score,quality_score,our_rank,sample_rank,hf_featured,hf_featured_date,hf_upvotes,hf_daily_upvote_rank,notable_organisation,notable_person,why_high,why_lower
2609.11638,"Vidu S2: Real-Time Interactive, Editable, and Spatial Video Generation",2026-09-10,,null,null,null,,,,1,True,2026-09-15,695,1,,,,no final_score (not in quality/adjudication slice)
2609.15818,Atria Dawn: The Dawn of Agentic Superintelligence,2026-09-14,natural_language_processing,"[""language_modeling""]","[""practitioner"", ""technical_leadership""]","[""scientific_research""]",,,,2,True,2026-09-15,428,2,,,,no final_score (not in quality/adjudication slice); screen_score=3.7
2609.08183,NeoHorse-1: Towards Recursive Self-Improvement via Agentic Post-Training with Routing Harness,2026-09-08,,[],[],[],,,,3,True,2026-09-09,419,1,,,,no final_score (not in quality/adjudication slice); screen_score=5.5
2609.00111,Qwen-Drive-1.0: An Initial Step towards a Vision-Language Foundation Model for Autonomous Driving,2026-08-31,,null,null,null,,,,4,True,2026-09-02,388,2,,,,no final_score (not in quality/adjudication slice)
2609.04199,Compile by Training: Turning Natural-Language Specifications into Local Neural Functions,2026-09-03,,[],[],[],,,,5,True,2026-09-04,385,1,,,,no final_score (not in quality/adjudication slice); screen_score=6.5
2608.16859,HarnessEval-W: Agentifying the Evaluation of Visual Worlds,2026-09-01,,[],[],[],,,,6,True,2026-08-18,341,2,,,,no final_score (not in quality/adjudication slice); screen_score=6.2
2609.10715,NCP-ArchPreview Technical Report: Moving towards Latent Space Language Models through Next Concept Prediction,2026-09-09,natural_language_processing,"[""language_modeling""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",,,,7,True,2026-09-11,318,1,,,,no final_score (not in quality/adjudication slice); screen_score=6.8
2609.14858,Dream-RSI: Recursive Self-Improvement through Evolving Worlds,2026-09-14,,[],[],[],,,,8,True,2026-09-15,281,4,Google DeepMind,,,no final_score (not in quality/adjudication slice); screen_score=6.3
2608.19880,EnvHarness: Awakening Static Worlds for Agent Learning,2026-08-20,,null,null,null,,,,9,True,2026-08-21,276,1,,,,no final_score (not in quality/adjudication slice)
2608.26105,VBVR-Pro: A Scalable and Verifiable Suite for Native Visual Reasoning,2026-09-10,,null,null,null,,,,10,True,2026-08-27,272,1,,,,no final_score (not in quality/adjudication slice)
2608.31111,Aspire: Can Models Self-Evolve from Vague Goals?,2026-08-31,,null,null,null,,,,11,True,2026-09-03,232,3,,,,no final_score (not in quality/adjudication slice)
2608.23283,Apodex 1.1: Scaling Agentic Intelligence for Complex Work,2026-08-25,,null,null,null,,,,12,True,2026-08-25,207,1,,,,no final_score (not in quality/adjudication slice)
2609.11115,Benchmark Radar: A Living Database and Search Engine for AI Benchmarks and Evaluation,2026-09-13,evaluation_benchmarking,"[""benchmark_design"", ""eval_methodology""]","[""practitioner""]","[""general_method""]",,,,13,True,2026-09-14,207,1,Carnegie Mellon University,,,no final_score (not in quality/adjudication slice); screen_score=5.8
2608.25518,Agentic Game Development as a Verifiable Trajectory Data Engine for Scaling World Models,2026-08-26,,null,null,null,,,,14,True,2026-08-28,196,1,,,,no final_score (not in quality/adjudication slice)
2609.03430,Random Attention: Rethinking KV Cache Eviction for Efficient Reasoning,2026-09-03,,null,null,null,,,,15,True,2026-09-04,186,5,,,,no final_score (not in quality/adjudication slice)
2609.00365,Dr. Claw: An AI Scientist Workspace for Vibe Research,2026-08-31,,null,null,null,,,,16,True,2026-09-07,183,1,,,,no final_score (not in quality/adjudication slice)
2608.26005,VoiceMem: Streaming Dual-Brain Memory for Real-Time Interaction,2026-08-26,,null,null,null,,,,17,True,2026-08-27,180,2,,,,no final_score (not in quality/adjudication slice)
2608.19583,VGI-Bench: Probing Visual Intelligence in Video Generation Models,2026-08-26,,null,null,null,,,,18,True,2026-08-27,179,3,,,,no final_score (not in quality/adjudication slice)
2609.14973,PhysBrain 1.5: From Vision-Language Models to Physical Foundation Models,2026-09-14,robotics_embodied,"[""manipulation"", ""world_models""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",,,,19,True,2026-09-15,174,5,,,,no final_score (not in quality/adjudication slice); screen_score=6.3
2609.10522,Show-Harness: Just a VLM Agent Can Play Robots,2026-09-09,robotics_embodied,"[""manipulation""]","[""practitioner""]","[""autonomous_systems""]",,,,20,True,2026-09-10,160,2,,,,no final_score (not in quality/adjudication slice); screen_score=6.8
