arxiv_id,title,published_at,domain,subdomains,audiences,application_domains,final_score,quality_score,our_rank,sample_rank,hf_featured,hf_featured_date,hf_upvotes,hf_daily_upvote_rank,notable_organisation,notable_person,why_high,why_lower
2609.06849,Learning transferable human physiology from two million hours of sleep with SleepFM-2,2026-09-06,multimodal_learning,[],"[""practitioner"", ""technical_leadership""]","[""healthcare_life_sciences""]",9.2,9.1,1,1,False,,,,Stanford University,,"final_score=9.2; quality=9.1; org_boost=0.191; notable_org=Stanford University; audiences=practitioner,technical_leadership; domain=multimodal_learning",
2609.15648,"Scaling Verification of Cryptographic Software with Aeneas, Rust, and Lean",2026-09-14,systems_infrastructure,[],"[""technical_leadership"", ""enterprise_adoption"", ""practitioner""]","[""cybersecurity""]",9.1,9.3,2,2,False,,,,,,"final_score=9.1; quality=9.3; org_boost=0.096; audiences=technical_leadership,enterprise_adoption,practitioner; domain=systems_infrastructure",
2609.04290,Evidence Integration in Large Language Models,2026-09-03,interpretability,"[""mechanistic_interpretability"", ""attribution""]","[""practitioner"", ""student""]","[""general_method""]",9.1,9.1,3,3,False,,,,Massachusetts Institute of Technology,,"final_score=9.1; quality=9.1; org_boost=0.270; notable_org=Massachusetts Institute of Technology; audiences=practitioner,student; domain=interpretability",
2609.14306,Flattening Every Memory Peak in Long-Context Mixture-of-Experts Training,2026-09-13,systems_infrastructure,"[""distributed_training"", ""training_systems""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.9,9.3,4,4,False,2026-09-17,0,16,,,"final_score=8.9; quality=9.3; audiences=practitioner,technical_leadership; domain=systems_infrastructure",
2609.06323,"Water-network decisions share one hydraulic gradient, and it can now be computed exactly",2026-09-06,theory_foundations,"[""optimization""]","[""practitioner""]","[""energy_utilities""]",8.9,9.2,5,5,False,,,,,,final_score=8.9; quality=9.2; audiences=practitioner; domain=theory_foundations,
2607.23711,The Intruder Threshold: A Spectral Law for LoRA Fine-Tuning,2026-09-12,theory_foundations,"[""generalization""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.9,9.0,6,6,False,,,,,,"final_score=8.9; quality=9.0; org_boost=0.113; audiences=practitioner,technical_leadership; domain=theory_foundations",
2609.07162,"The Oversight Gap: What LLM Safety Monitors Miss, and Why It Is Not Capability",2026-09-07,alignment_safety,"[""content_safety""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.9,8.9,7,7,False,,,,Carnegie Mellon University,,"final_score=8.9; quality=8.9; org_boost=0.225; notable_org=Carnegie Mellon University; audiences=practitioner,technical_leadership; domain=alignment_safety",
2609.13728,TyPatch: Transforming Patches into Typestate Rules for Kernel Bug Detection,2026-09-12,natural_language_processing,[],"[""practitioner""]","[""cybersecurity""]",8.9,8.9,8,8,False,,,,Tsinghua University,,final_score=8.9; quality=8.9; org_boost=0.270; notable_org=Tsinghua University; audiences=practitioner; domain=natural_language_processing,
2609.04043,Extending concurrent separation logic to the hardware level to verify the xv6 OS kernel on RISC-V with AI agents,2026-09-03,theory_foundations,[],"[""practitioner""]","[""general_method""]",8.8,9.1,9,9,False,,,,,,final_score=8.8; quality=9.1; org_boost=0.096; audiences=practitioner; domain=theory_foundations,
2609.12815,4D Parallelism Unlocks Exascale Bayesian Neural Networks for High-Fidelity Atmospheric Modeling,2026-09-11,systems_infrastructure,"[""distributed_training"", ""training_systems""]","[""practitioner"", ""technical_leadership""]","[""scientific_research""]",8.8,9.1,10,10,False,,,,,,"final_score=8.8; quality=9.1; org_boost=0.135; audiences=practitioner,technical_leadership; domain=systems_infrastructure",
