paper_id,arxiv_id,arxiv_url,title,published_at,terra_composite,jev_composite,terra_rank,jev_rank,rank_gap,terra_technical_significance,terra_apparent_novelty,terra_practical_applicability,terra_professional_value,terra_learning_value,terra_evidence_strength,jev_technical_significance,jev_apparent_novelty,jev_practical_applicability,jev_professional_value,jev_learning_value,jev_evidence_strength,jev_confidence,organisations,is_golden,was_editorial_pick
198393,2609.21432,https://arxiv.org/abs/2609.21432,GVPO++: Group Variance Policy Optimization for LLM Post-Training and On-Policy Distillation,2026-09-18 00:00:00+00:00,8.2,4.8574,66,979,-913,8.5,8.0,8.0,8.0,8.5,5.0,7.0,7.0,5.5,5.5,7.5,1.5,0.6166666666666667,,False,none
200328,2602.09093,https://arxiv.org/abs/2602.09093,Predicting magnetism with first-principles AI,2026-09-21 00:00:00+00:00,8.34,5.3273,40,922,-882,9.0,8.5,7.0,8.5,8.5,6.5,8.0,7.0,5.0,3.5,7.5,4.5,0.5533333333333333,Massachusetts Institute of Technology,False,none
200288,2504.09006,https://arxiv.org/abs/2504.09006,Learning in Structured Stackelberg Games,2026-09-21 00:00:00+00:00,8.08,5.3774,134,910,-776,8.5,8.5,6.5,8.0,9.0,6.5,8.0,7.5,4.0,4.0,8.0,4.5,0.595,"Carnegie Mellon University; University of California, Berkeley",False,none
199392,2605.11269,https://arxiv.org/abs/2605.11269,gwBenchmarks: Stress-Testing LLM Agents on High-Precision Gravitational Wave Astronomy,2026-09-20 00:00:00+00:00,8.0,5.2448,188,934,-746,8.0,8.0,7.0,8.5,9.0,8.0,7.0,7.0,3.0,5.5,7.0,6.0,0.6483333333333333,"Johns Hopkins University; Kavli Institute for Theoretical Physics; Princeton University; University of California, Santa Barbara",False,none
200130,2609.24054,https://arxiv.org/abs/2609.24054,AquaOrbit: Sim-to-Real Reinforcement Learning for Underwater Target Orbiting under Intermittent Visual Feedback,2026-09-21 00:00:00+00:00,7.12,7.2944,802,61,741,7.5,6.5,7.5,7.0,7.0,7.5,8.0,7.0,8.0,8.0,8.0,8.0,0.78,Northwestern Polytechnical University; Tongji University,False,none
199803,2609.23371,https://arxiv.org/abs/2609.23371,Machine-Interpretable Information: Compiling Documents into Searchable and Readable Protocol States,2026-09-20 00:00:00+00:00,8.6,5.882,12,746,-734,8.5,9.0,8.5,8.0,9.0,6.0,7.5,8.0,4.5,6.5,7.0,5.5,0.48833333333333334,Fudan University,False,none
199776,2609.23315,https://arxiv.org/abs/2609.23315,"Graph Memory for LLM Agents: At What Cost? A Comparative Evaluation of Query, Ingest, and Update Performance Across Graph Database Engines",2026-09-20 00:00:00+00:00,6.6,6.808,957,235,722,6.5,5.5,7.5,7.0,7.0,6.0,7.5,6.0,7.5,8.5,8.0,7.5,0.7533333333333333,The University of Texas at Austin,False,none
197772,2609.20641,https://arxiv.org/abs/2609.20641,Beyond PINNs: A Unified Gauss--Newton and Petrov--Galerkin Framework for Neural and Hybrid PDE Solvers,2026-09-17 00:00:00+00:00,8.0,5.3941,183,903,-720,8.5,8.0,7.0,8.0,8.5,6.5,7.5,7.0,5.0,4.5,8.0,4.5,0.6433333333333333,Karlsruhe Institute of Technology,False,none
196979,2509.03405,https://arxiv.org/abs/2509.03405,LMEnt: A Suite for Analyzing Knowledge in Language Models from Pretraining Data to Representations,2026-09-17 00:00:00+00:00,8.08,5.6398,127,836,-709,8.0,7.5,8.0,8.5,9.0,8.0,7.5,7.0,4.5,5.5,8.0,5.5,0.66,McGill University; Mila - Quebec Artificial Intelligence Institute; Tel Aviv University,False,none
198004,2609.21088,https://arxiv.org/abs/2609.21088,Origin Is All You Need: Provenance-Aware Transformers for Structural Trust-Boundary Separation,2026-09-17 00:00:00+00:00,7.98,5.3475,207,916,-709,8.5,8.0,7.5,8.0,7.5,6.0,7.5,7.0,5.5,7.0,7.5,2.5,0.6533333333333333,Texas A&M University,False,none
197147,2609.19107,https://arxiv.org/abs/2609.19107,"How Model Growth, Recursion, and Boundary Operators Influence Scaling Exponents",2026-09-17 00:00:00+00:00,8.04,5.6088,152,851,-699,8.5,8.0,7.5,8.0,8.0,6.5,7.0,7.0,5.5,7.5,7.5,4.0,0.58,,False,none
197187,2609.19413,https://arxiv.org/abs/2609.19413,From Rollout to Reset: A Graph-Based Harness for Autonomous Long-Horizon Manipulation Evaluation,2026-09-16 00:00:00+00:00,7.18,7.1965,766,83,683,7.0,7.0,7.5,7.5,7.0,7.0,8.0,7.5,7.5,8.0,8.0,7.5,0.81,Karlsruhe Institute of Technology; University of North Carolina at Chapel Hill,False,none
197315,2609.19674,https://arxiv.org/abs/2609.19674,Conservation Buys Stability and Factoring Buys Counterfactuals in Physical World Models,2026-09-17 00:00:00+00:00,7.02,6.9745,838,159,679,7.0,7.0,6.5,7.0,8.0,6.5,8.0,7.5,6.0,8.0,8.5,7.5,0.7533333333333333,Georgia Institute of Technology; Stony Brook University; Westlake University,False,none
199449,2609.18148,https://arxiv.org/abs/2609.18148,LIGE-GR: A Smooth Leap from Ranking to Generative Recommendation in the LLM Era,2026-09-20 00:00:00+00:00,8.0,5.593,189,859,-670,8.0,7.0,9.0,9.0,7.0,8.0,6.0,6.0,7.5,7.0,7.0,5.0,0.6833333333333333,,False,none
200158,2609.24103,https://arxiv.org/abs/2609.24103,Reinforcement Learning under State and Outcome Uncertainty: A Foundational Distributional Perspective,2026-09-21 00:00:00+00:00,7.82,5.1102,292,955,-663,8.5,8.0,6.5,7.5,8.5,7.0,7.5,7.5,3.5,3.5,8.0,4.5,0.6616666666666667,,False,none
199685,2609.23121,https://arxiv.org/abs/2609.23121,MM-ContextFold: Context Folding for Multimodal Agentic Retrieval,2026-09-19 00:00:00+00:00,7.16,7.0485,784,123,661,7.0,6.5,8.0,7.5,7.0,7.5,7.5,7.0,8.0,8.0,8.0,7.5,0.85,Hong Kong University of Science and Technology; Shandong University; Southeast University,False,none
138345,2609.04043,https://arxiv.org/abs/2609.04043,Extending concurrent separation logic to the hardware level to verify the xv6 OS kernel on RISC-V with AI agents,2026-09-03 00:00:00+00:00,8.46,6.0144,27,672,-645,9.0,8.0,7.5,9.0,9.0,7.5,8.5,7.5,4.0,4.5,8.5,6.5,0.6416666666666666,MIT Computer Science and Artificial Intelligence Laboratory,True,none
199638,2609.23037,https://arxiv.org/abs/2609.23037,Fast and Robust Temporal Logic Planning via ADMM-based Trajectory Optimization,2026-09-19 00:00:00+00:00,8.1,5.8548,117,759,-642,8.0,8.0,8.5,8.0,8.0,7.0,8.0,7.0,6.5,6.0,8.0,4.0,0.7,KTH Royal Institute of Technology; Massachusetts Institute of Technology; Technical University of Munich; Technological University Hmawbi,False,none
