arxiv_id,title,published_at,domain,subdomains,audiences,application_domains,final_score,quality_score,our_rank,sample_rank,hf_featured,hf_featured_date,hf_upvotes,hf_daily_upvote_rank,notable_organisation,notable_person,why_high,why_lower
2609.06966,MOLE: Detecting Insider Threats in AI Agents,2026-09-07,evaluation_benchmarking,"[""benchmark_design""]","[""practitioner"", ""technical_leadership"", ""enterprise_adoption""]","[""cybersecurity""]",8.9,8.9,1,1,True,2026-09-09,19,36,Carnegie Mellon University,,,
2609.05275,Don't Drop Dropout: Optimizing Layer Sparsity for Efficient LLM Training and Inference,2026-09-04,model_compression,"[""pruning""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.9,8.6,2,2,True,2026-09-07,23,8,Cerebras,,,
2609.12552,RelateAnything: Real-Time Open-Vocabulary Relation Prediction From Any Inputs,2026-09-11,computer_vision,"[""object_detection""]","[""practitioner""]","[""general_method""]",8.7,8.9,3,3,True,2026-09-16,3,18,,,,
2608.23691,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,2026-09-14,natural_language_processing,[],"[""practitioner""]","[""scientific_research""]",8.6,9.1,4,4,True,2026-08-26,3,23,,,,
2609.05663,"What LLM Trading Agents Actually Do in Production: A Six-Month, Population-Scale Record from Two Fleets",2026-09-04,evaluation_benchmarking,"[""eval_methodology""]","[""practitioner"", ""technical_leadership"", ""enterprise_adoption""]","[""financial_services""]",8.5,8.9,5,5,True,2026-09-09,22,28,,,,
2609.05588,GE-Act 2.0: Pretraining and Scaling a World-Action Model for Robotic Manipulation,2026-09-04,robotics_embodied,"[""manipulation"", ""world_models""]","[""practitioner"", ""technical_leadership""]","[""autonomous_systems""]",8.4,8.6,6,6,True,2026-09-09,59,8,,,,
2609.04010,Unlocking Lossless Speedups in LLMs via Discrete Diffusion,2026-09-03,efficient_inference,"[""speculative_decoding""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.3,8.9,7,7,True,2026-09-08,150,1,,,,
2608.12564,Scaling Automatic Research Agents via World Models,2026-09-10,reinforcement_learning,[],"[""practitioner"", ""technical_leadership""]","[""scientific_research""]",8.3,8.8,8,8,True,2026-09-10,458,1,,,,
2609.04304,Iris: Climbing to the Search Frontier,2026-09-03,natural_language_processing,"[""language_modeling"", ""retrieval""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.3,8.8,9,9,True,2026-09-07,70,3,,,,
2609.08936,AuK Technical Report: An Open-Source Foundational Model for Speech Generation and Editing,2026-09-08,speech_audio,"[""speech_synthesis"", ""audio_understanding""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.3,8.8,10,10,True,2026-09-09,218,2,,,,
2609.04098,Why Gated DeltaNet Survives 4-Bit Quantization: NVFP4 W4A4 for the Recurrent Half of a Hybrid 27B LLM,2026-09-03,model_compression,"[""quantization""]","[""practitioner""]","[""general_method""]",8.3,8.6,11,11,True,2026-09-04,83,9,,,,
2609.13053,Dynin-Robotics: Omnimodal Unified Diffusion Vision-Language-Action Model,2026-09-11,,[],[],[],8.3,8.6,12,12,True,2026-09-15,6,23,,,,
2609.01343,SMELT: Scaling Laws for Compute-Matched MoE Looped Transformers,2026-09-11,natural_language_processing,"[""language_modeling""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.3,8.4,13,13,True,2026-09-02,104,3,Tsinghua University,,,
2609.04611,"$Ï^Ï$-Bench: An Environment for End-To-End, Realistic Agent Construction",2026-09-04,evaluation_benchmarking,"[""benchmark_design"", ""eval_methodology""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.2,8.6,14,14,True,2026-09-07,15,14,Stanford University,,,
2609.07816,Kalman Delta Networks: Uncertainty-aware Associative Memory,2026-09-07,natural_language_processing,"[""language_modeling""]","[""practitioner""]","[""general_method""]",8.2,8.6,15,15,True,2026-09-09,29,21,,,,
2609.15309,When Agents Slow Down: Understanding LLM Agents' Test-Time Strategies via Elo-per-token Analysis,2026-09-14,evaluation_benchmarking,"[""eval_methodology""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.2,8.5,16,16,True,2026-09-15,12,20,,,,
2609.16204,Decoy Direction Optimization: A Post-Hoc Defense Against LLM Abliteration,2026-09-14,alignment_safety,"[""jailbreak_robustness""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.2,8.4,17,17,True,2026-09-16,2,23,Carnegie Mellon University,,,
2609.06652,VidaForge: Open Research Infrastructure for Video Pretraining Data Recipes,2026-09-06,systems_infrastructure,"[""data_pipelines""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.1,8.5,18,18,True,2026-09-09,22,30,,,,
2608.12944,CardioState-JEPA: Delay-Aware Cross-Modal Learning of a Shared Cardiac Representation,2026-09-09,multimodal_learning,"[""audio_visual""]","[""practitioner"", ""technical_leadership""]","[""healthcare_life_sciences""]",8.1,8.4,19,19,True,2026-08-19,2,33,,,,
2608.29464,Chain-of-Thought Faithfulness of Reasoning Models Varies with Where and How Preference Cues Are Delivered,2026-09-01,alignment_safety,[],"[""practitioner"", ""technical_leadership""]","[""general_method""]",8.1,8.4,20,20,True,2026-09-01,15,17,,,,
