row_no,paper_id,arxiv_id,arxiv_url,title,abstract,published_at,organisations,sample_stratum,h_ai_relevance,h_technical_significance,h_apparent_novelty,h_practical_applicability,h_professional_value,h_learning_value,h_evidence_strength,h_tech_relevance,h_product_relevance,h_final_score,h_domain,h_application_domain,h_newsletter_verdict,h_reject_reason,h_notes
1,2184,2608.26188,https://arxiv.org/abs/2608.26188,Is Your Neighborhood Safe? Place-based Stigma in Large Language Models' Urban Safety Judgments,"Large language models are increasingly used to inform safety decisions in cities, such as where it is safe to walk, rent, or travel. We ask whether such judgments track measured risk or the patterns attached to an urban neighborhood's name. We probe seven instruct-tuned models under three conditions that dissociate name from geography: coordinates-only, name-only, and name+coordinates, across 186 neighborhoods in Los Angeles and Chicago, joined to violent crime and American Community Survey data. First, ratings are nearly flat under coordinates for six of seven models, while names carry most between neighborhood variation and are moderately calibrated to violent crime; only at frontier scale does the coordinate channel show appreciable variation. Second, names lower safety ratings more for neighborhoods with higher shares of the locally dominant marginalized group (percent Black in Chicago, percent Hispanic in Los Angeles), and this name effect tracks demographic share in all seven models and both cities. In Los Angeles, where demographic share and crime are more separable, the effect survives controls for crime and income and is confirmed by crime-matched pairs. An enforcement-elasticity analysis further shows that over-caution tracks near-fully-reported homicide rather than discretionary, deployment-driven offenses. Third, the effect scales with geographic knowledge: models that better distinguish real neighborhoods apply more demographic stereotype to them. Because neighborhood names carry both genuine crime signal and demographic stereotype, removing names reduces both bias and accuracy. We discuss implications for deploying LLMs in advice and decision-support settings.",2026-08-23 00:00:00+00:00,Augustana University; University of Illinois Urbana-Champaign,editorial_pick,8,8,7.5,8,8.5,8,8,7,9,8.5,alignment_safety,content_moderation,shortlist,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: We probe seven instruct-tuned models under three conditions that dissociate name from geography: coordinates…
2,3550,2608.22152,https://arxiv.org/abs/2608.22152,The Collaboration Tax: How Much LLM Multi-Agent Systems Pay to Coordinate,"Multi-agent systems built from large language models are deployed widely, yet how much performance is lost when two LLMs must coordinate rather than act alone remains unclear. We formulate the collaboration tax as the team-decentralisation loss of a two-player cooperative game with private information, with two propositions characterising its sign and its equivalence to a max-superadditivity violation. We operationalise this definition on 32 solo-tractable tasks grouped by source of grounding friction and measure it on 11 models from 7 providers. The tax is structured along two no-exception axes: a category ordering across every model and a monotonic decrease with capability. The proximate mechanism is not a reasoning deficit but a four-stage conversational cascade in which agents make ungrounded claims, fail to query the partner, skip integrating both views, and accept the answer without re-derivation. The tax is mechanically predictable from conversation features and partly tractable: a prompt intervention targeting all four stages closes a substantial fraction of the gap, with the dominant bottleneck differing across categories. In heterogeneous pairs the tax is pulled toward the stronger partner rather than the additive midpoint, empirically realising the max-superadditivity violation predicted by our framework. Together these results recast collaboration in LLM systems as a measurable, predictable, and partly tractable cost.",2026-08-23 00:00:00+00:00,,editorial_pick,8.5,8.5,8,8.5,9,8.5,8,9.5,8,9,evaluation_benchmarking,enterprise_workforce,winner_material,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: We operationalise this definition on 32 solo-tractable tasks grouped by source of grounding friction and mea…
3,3556,2608.22229,https://arxiv.org/abs/2608.22229,Grounded Normative Rule Generation with Structured Search,"Normative rules like institutional charters and workplace policies must be both human-readable and operationally verifiable against actual environment records. However, current language generation and structured-output benchmarks primarily reward surface fluency or schema compliance, leaving operational grounding weakly tested. This creates a critical vulnerability where standard language models generate plausible-sounding policies that fail during enforcement because they rely on unavailable data logs or misaligned scopes. To address this challenge, we formalize the problem as Grounded Normative Rule Synthesis (GNRS) and introduce GNRS-Search, a framework that utilizes Markov Chain Monte Carlo (MCMC) sampling to optimize a discrete, five-slot And-Or Graph (AOG). By explicitly decoupling intermediate operational structure from final prose generation, this method isolates executable feasibility from writing style and allows rule failures to be localized prior to surface realization. We evaluate our approach on GNRS-Bench, a benchmark spanning 116 controlled goals across eight scene families, and RealCharter-Bench, which evaluates transfer to 53 real-derived policy tasks with hidden source clauses. GNRS-Search raises average rubric quality from 68.8% to 81.0% and ranks first under a disclosed executable composite metric, while systematic slot interventions confirm that performance gains stem from robust operational logic rather than rhetorical tuning. Ultimately, by transforming automated rule drafting into an inspectable search problem, this work provides a foundational paradigm for deploying verifiable and compliance-ready personal agents within regulated environments.",2026-08-23 00:00:00+00:00,Peking University; University of Chinese Academy of Sciences,editorial_pick,7.5,7.5,8,7,7.5,7.5,7,7.5,8,7.5,natural_language_processing,legal_compliance,maybe,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Claims and comparisons require full-text verification.
4,3611,2607.12550,https://arxiv.org/abs/2607.12550,A JoLT for the KV cache: Near-lossless KV cache compression via joint Lagrangian allocation of Tucker ranks and a rotated residual for llms,"The key-value (KV) cache has become the dominant memory cost of transformer inference: it grows with batch size, context length, and depth, and at long context it, rather than the model weights, sets the throughput ceiling. Existing reductions fall into two families. Low-rank methods factor two-dimensional slices of the cache, either per-head matrices or cross-layer feature blocks, and quantization methods lower the bit-width of every entry. Neither exploits the fact that the cache at a layer is naturally a third-order tensor whose three axes, the heads, the tokens, and the features, carry very different amounts of redundancy. We take this tensor view directly. Our method, JoLT (Joint Lagrangian Tucker), applies a partial Tucker decomposition that compresses only the token and feature axes while leaving the head and layer axes intact, then restores the energy that truncation discards with a rotated low-bit residual: a random orthogonal rotation followed by low-bit quantization. A single Lagrangian dual allocates the Tucker ranks and the residual bit-widths together, per layer group and separately for keys and values, under one byte budget. The result is a near-lossless 2-3x compression. Perplexity stays near-lossless on both a grouped-query-attention model (Mistral-7B-v0.3) and a multi-head-attention model (LLaMA-2-13B), and GSM8K accuracy and needle-in-a-haystack retrieval hold at the uncompressed baseline at 2x on both architectures and through 3x on the GQA model. At 2x, JoLT reconstructs the cache to relative Frobenius error 0.009 (K) and 0.006 (V) on both architectures. A randomized-SVD variant, FlashJoLT, delivers a 5-13x compression-time speedup at 1024-token context and matched quality.",2026-08-23 00:00:00+00:00,,editorial_pick,8.5,8.5,8,9,8.5,8,8,10,6,9,model_compression,general_method,winner_material,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: The result is a near-lossless 2-3x compression.
5,42672,2603.20957,https://arxiv.org/abs/2603.20957,Alignment Whack-a-Mole : Finetuning Activates Verbatim Recall of Copyrighted Books in Large Language Models,"Frontier LLM companies have repeatedly assured courts and regulators that their models do not store copies of training data. They further rely on safety alignment strategies via RLHF, system prompts, and output filters to block verbatim regurgitation of copyrighted works, and have cited the efficacy of these measures in their legal defenses against copyright infringement claims. We show that finetuning bypasses these protections: by training models to expand plot summaries into full text, a task naturally suited for commercial writing assistants, we cause GPT-4o, Gemini-2.5-Pro, and DeepSeek-V3.1 to reproduce up to 85-90% of held-out copyrighted books, with single verbatim spans exceeding 460 words, using only semantic descriptions as prompts and no actual book text. This extraction generalizes across authors: finetuning exclusively on Haruki Murakami's novels unlocks verbatim recall of copyrighted books from over 30 unrelated authors. The effect is not specific to any training author or corpus: random author pairs and public-domain finetuning data produce comparable extraction, while finetuning on synthetic text yields near-zero extraction, indicating that finetuning on individual authors' works reactivates latent memorization from pretraining. Three models from different providers memorize the same books in the same regions ($r \ge 0.90$), pointing to an industry-wide vulnerability. Our findings offer compelling evidence that model weights store copies of copyrighted works and that the security failures that manifest after finetuning on individual authors' works undermine a key premise of recent fair use rulings, where courts have conditioned favorable outcomes on the adequacy of measures preventing reproduction of protected expression.",2026-09-15 00:00:00+00:00,Carnegie Mellon University; Columbia University,editorial_pick,9,8,7.5,7.5,8.5,8,8,8,9,8.5,alignment_safety,legal_compliance,shortlist,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: We show that finetuning bypasses these protections: by training models to expand plot summaries into full te…
6,120294,2511.02208,https://arxiv.org/abs/2511.02208,Training Proactive and Personalized LLM Agents,"Despite rapid progress, current AI agents are primarily optimized for isolated task completion. We argue for a paradigm shift toward training agents as collaborators that communicate and adapt to people. To facilitate this shift in real-world complex applications, we first formalize three dimensions of collaborative AI agents: Productivity, Proactivity, and Personalization (PPP). We introduce UserVille, an interactive environment with configurable LLM-based user simulators and user-centric feedback to evaluate these dimensions, and propose a multi-objective reinforcement learning framework that optimizes them using rewards from task outcomes, question effort, and preference adherence. On two real-world agentic tasks (SWE-Bench and BrowseComp-Plus), PPP-trained agents outperform strong LLM baselines (including GPT-5) by an average of 16.7 points, ask more targeted questions, and generalize to unseen preferences and tasks. A follow-up user study further highlights the importance of user-centric feedback for training collaborative agents that are both more effective and easier to supervise.",2026-08-23 00:00:00+00:00,Carnegie Mellon University,editorial_pick,9,8,7.5,8.5,8.5,8,8,8.5,9,8.5,reinforcement_learning,enterprise_workforce,shortlist,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: On two real-world agentic tasks (SWE-Bench and BrowseComp-Plus), PPP-trained agents outperform strong LLM ba…"
7,120560,2608.17445,https://arxiv.org/abs/2608.17445,Decomposition Attacks Across Unlinkable Identities: Limits of Stateful Defenses for LLM Services,"Most large language model services use stateless defenses, which judge only the current request, to refuse harmful tasks. Decomposition attacks exploit this limitation by splitting a harmful task into individually permissible requests and combining their answers. Defending against them therefore requires a stateful monitor that considers requests together. If it can group all requests for one attacker task, it can stop the attack. However, attackers can use unlinkable identities and combine answers elsewhere, leaving no reliable grouping signal. We ask whether decomposition attacks can still be stopped under this setting. For a fixed attack strategy without retries, we prove that the achievable security and utility tradeoff depends entirely on how benign requests for the same capabilities are grouped. Persistent, recognizable groups permit a useful defense; fresh, indistinguishable groups do not. When attackers can retry and learn from Allow/Block decisions, this useful operating point disappears: the feedback reveals what passes but not whether a block was correct. Experiments on 91 executable tasks and 11,393 capability-matched benign requests support these results. Under a 1% denial cap for these requests and a 0.5% cap for unrelated background traffic, all ten tested policies, including one privileged policy with an exact request-to-operation map, either fail to stop attacks or exceed the budget. On defense-unseen task families, attack success is at least 99% after one attempt and 100% after two. Effective defenses therefore require additional evidence or mechanisms tied to grouping, such as reliable identity linkage, costs for fresh identities, or control over answer use.",2026-08-23 00:00:00+00:00,,editorial_pick,8,8,8,8,9,8,7.5,9.5,8,8.5,alignment_safety,cybersecurity,shortlist,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Claims and comparisons require full-text verification.
8,120867,2608.22483,https://arxiv.org/abs/2608.22483,Claim-Level Confidence Calibration for Reliable Decision Making with Large Language Models,"Large Language Models (LLMs) increasingly support decision-making in high-stakes domains, but they often hallucinate and express confidence that is misaligned with factual correctness. Response-level confidence is a coarse signal: a single generation can mix correct and incorrect statements, so a single number is not actionable for users that must accept, reject, or verify individual pieces of information. We study claim-level confidence calibration as a decision-relevant uncertainty signal: each response is decomposed into atomic, verifiable claims, and each claim is assigned a calibrated confidence using inference-time signals from consistency across samples and self-verification. Our framework operates in closed-box settings (no logits, no fine-tuning) and applies post-hoc calibration directly at the claim level, enabling selective intervention such as evidence retrieval or human review for low-confidence claims. Across TriviaQA and TruthfulQA we evaluate seven baselines on six recent models (Llama-3.1, Mistral, Qwen2.5, DeepSeek-R1, GPT-4, GPT-4o), and show that claim-level decomposition combined with post-hoc calibration reduces expected calibration error on factual questions while exposing failure modes on adversarial false-premise questions where decision-makers most need reliable uncertainty estimates.",2026-08-23 00:00:00+00:00,IEEE Standards Association; Tsinghua University,editorial_pick,8.5,7.5,7,8.5,8.5,8,8,8.5,8.5,8.5,evaluation_benchmarking,general_method,shortlist,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: Across TriviaQA and TruthfulQA we evaluate seven baselines on six recent models (Llama-3.1, Mistral, Qwen2.5…"
9,143079,2609.05275,https://arxiv.org/abs/2609.05275,Don't Drop Dropout: Optimizing Layer Sparsity for Efficient LLM Training and Inference,"Layer dropout (a.k.a. stochastic depth) has been shown to enable faster training, higher accuracy, and robustness to zero-shot layer pruning in both language and vision transformers. However, as models and datasets have scaled, dropout - particularly layer dropout - has largely disappeared from large language models (LLMs) pre-training recipes. While some prior work has reported that dropout can degrade accuracy, no comprehensive study has quantified, let alone mitigated, this effect. In this study, we show that layer dropout should be used in state-of-the-art LLM training, establishing best practices and scaling analysis for both training and post-training benefits. Concretely, with optimal layer distribution, time schedule, and optimizer hyperparameters, we observe that at the same training FLOPs layer dropout leads to lower loss. For a given number of training steps, LLMs can achieve lower or similar validation loss while saving upto 25% of training FLOPs. Moreover, layer dropout enables significant post-training optimizations, such as early exit, intermediate-layer skipping, and self-speculative decoding, yielding up to 1.5x inference speedup with negligible accuracy loss. Across more than 2400 training experiments, spanning models from 271M to 8.2B parameters and datasets up to 160B tokens, we demonstrate that these findings extend reliably to large-scale training regimes. All pre-training experiments were run on Cerebras CS-3 systems.",2026-09-04 00:00:00+00:00,Cerebras; IEEE Standards Association,editorial_pick,8,8,7.5,8,8,8,8,9.5,5,8.5,systems_infrastructure,general_method,shortlist,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: For a given number of training steps, LLMs can achieve lower or similar validation loss while saving upto 25…"
10,172395,2608.17485,https://arxiv.org/abs/2608.17485,KeyPooling: Measuring Where LLM API Relay Paths Collapse Prompt Cache Isolation,"Large language model (LLM) API relays authenticate customers separately but often forward requests through shared provider credentials. Providers scope prompt caches to upstream principals and namespaces, so relay customers mapped to one cache identity can observe each other's cache state. Prior work showed cache sharing at selected endpoints but did not identify which credential, pool, adapter, or nested hop controls the finalidentity. We present KeyPooling, a measurement method that traces customer identity through cache lookup and write, verifies runtime transformations, and tests one predicted identity component at a time. Across five open-source gateways connected to OpenAI and Anthropic, none bound customers to upstream credentials by default; under a shared credential, all five exposed cross-customer cache reads for both providers. Principal and namespace splits, pool associations, and adapter and nested-relay contrasts localized the controlling transformations. In an outcome-independent weekly OpenRouter frame, tests covered 80.5% of eligible token volume and found cross-account reads for 12 of 28 labels carrying 33.7% of volume. On one production route, a controlled procedure recovered eight consecutive target positions without target access. Broader tests identify cache granularity, routing, rate limits, attribution, and budget as conditions for token-by-token recovery, not security controls. We derive a defense contract: every customer must enter a provider-enforced domain, or a namespace derived from authenticated identity must survive every final cache lookup and write. Placing this split after reusable public prefixes preserved most modeled reuse at a 1.7-2.5% cost increase.",2026-08-23 00:00:00+00:00,Johns Hopkins University,editorial_pick,7.5,8.5,8,9,9,8,8.5,9.5,8,9.5,alignment_safety,cybersecurity,winner_material,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: In an outcome-independent weekly OpenRouter frame, tests covered 80.5% of eligible token volume and found cr…"
