content_item_id,arxiv_id,title,published_at,quality_score,final_score,domain,audiences,application_domains,top_organisation,hf_featured,eligible,canonical_url
172395,2608.17485,KeyPooling: Measuring Where LLM API Relay Paths Collapse Prompt Cache Isolation,2026-08-23T00:00:00+00:00,8.8,8.6,efficient_inference,"[""practitioner"", ""technical_leadership"", ""enterprise_adoption""]","[""cybersecurity""]",Johns Hopkins University,False,True,https://arxiv.org/abs/2608.17485
172652,2608.22476,JetStream: Generating Query Accelerators for Existing Database Systems,2026-08-23T00:00:00+00:00,8.7,8.4,systems_infrastructure,"[""practitioner"", ""technical_leadership""]","[""general_method""]",MIT Computer Science and Artificial Intelligence Laboratory,False,True,https://arxiv.org/abs/2608.22476
120504,2608.01575,Measuring in-context algorithmic reasoning in language models against an exact Bayes-optimal reference,2026-08-23T00:00:00+00:00,8.6,8.4,evaluation_benchmarking,"[""practitioner"", ""technical_leadership""]","[""general_method""]",University of Oxford,False,True,https://arxiv.org/abs/2608.01575
120560,2608.17445,Decomposition Attacks Across Unlinkable Identities: Limits of Stateful Defenses for LLM Services,2026-08-23T00:00:00+00:00,8.7,8.3,alignment_safety,"[""practitioner"", ""technical_leadership"", ""enterprise_adoption""]","[""general_method""]",,False,True,https://arxiv.org/abs/2608.17445
120807,2608.22301,The Imitator Game: Benchmarking Robot Imitative Ability Beyond Action Prediction,2026-08-23T00:00:00+00:00,8.5,8.2,robotics_embodied,"[""practitioner""]","[""autonomous_systems""]",,False,True,https://arxiv.org/abs/2608.22301
120294,2511.02208,Training Proactive and Personalized LLM Agents,2026-08-23T00:00:00+00:00,8.4,8.2,reinforcement_learning,"[""practitioner""]","[""general_method""]",Carnegie Mellon University,False,True,https://arxiv.org/abs/2511.02208
3568,2602.13106,Which Algorithms Can Graph Neural Networks Learn?,2026-08-23T00:00:00+00:00,8.5,8.1,graph_learning,"[""practitioner"", ""technical_leadership""]","[""general_method""]",RWTH Aachen University,False,True,https://arxiv.org/abs/2602.13106
3611,2607.12550,A JoLT for the KV cache: Near-lossless KV cache compression via joint Lagrangian allocation of Tucker ranks and a rotated residual for llms,2026-08-23T00:00:00+00:00,8.5,8.1,efficient_inference,"[""practitioner"", ""technical_leadership""]","[""general_method""]",,False,True,https://arxiv.org/abs/2607.12550
3223,2608.23626,"A survey detection channel overrides the pixels in an astronomical foundation model, and biases tomographic mean redshifts",2026-08-23T00:00:00+00:00,8.4,8.0,interpretability,"[""practitioner"", ""technical_leadership""]","[""scientific_research""]",,False,True,https://arxiv.org/abs/2608.23626
120264,2508.07173,Omni-SafetyBench: A Benchmark for Safety Evaluation of Audio-Visual Large Language Models,2026-08-23T00:00:00+00:00,8.2,8.0,alignment_safety,"[""practitioner"", ""technical_leadership""]","[""general_method""]",Tsinghua University,False,True,https://arxiv.org/abs/2508.07173
1470,2608.15584,GraniKV: Asymmetric Granularity KV-Cache Paging for Multi-Agent Systems with Long Shared Prefix,2026-08-23T00:00:00+00:00,8.3,7.9,efficient_inference,"[""practitioner"", ""technical_leadership""]","[""general_method""]",Seoul National University,False,True,https://arxiv.org/abs/2608.15584
3854,2608.22368,DiD It in 87 Minutes: A Label-Free Softmax-to-Linear Adaptation of Vision Transformers for Object Detection,2026-08-23T00:00:00+00:00,8.3,7.9,computer_vision,"[""practitioner""]","[""general_method""]",Nanyang Technological University,False,True,https://arxiv.org/abs/2608.22368
120883,2608.22533,CONTRAMEM: Learning Self-Evolving Procedural Memory from Contrasting Multi-Model Trajectories,2026-08-23T00:00:00+00:00,8.3,7.9,natural_language_processing,"[""practitioner""]","[""general_method""]",,False,True,https://arxiv.org/abs/2608.22533
3560,2608.22244,Improving Few-Step Language Flows with Untied Self-Conditioning,2026-08-23T00:00:00+00:00,8.2,7.9,natural_language_processing,"[""practitioner""]","[""general_method""]",Korea University of Science and Technology,False,True,https://arxiv.org/abs/2608.22244
